Entities List
animania:buck_alpine -- animania:buck_alpine
animania:buck_angora -- animania:buck_angora
animania:buck_chinchilla -- animania:buck_chinchilla
animania:buck_cottontail -- animania:buck_cottontail
animania:buck_dutch -- animania:buck_dutch
animania:buck_fainting -- animania:buck_fainting
animania:buck_havana -- animania:buck_havana
animania:buck_jack -- animania:buck_jack
animania:buck_kiko -- animania:buck_kiko
animania:buck_kinder -- animania:buck_kinder
animania:buck_lop -- animania:buck_lop
animania:buck_new_zealand -- animania:buck_new_zealand
animania:buck_nigerian_dwarf -- animania:buck_nigerian_dwarf
animania:buck_pygmy -- animania:buck_pygmy
animania:buck_rex -- animania:buck_rex
animania:bull_angus -- animania:bull_angus
animania:bull_friesian -- animania:bull_friesian
animania:bull_hereford -- animania:bull_hereford
animania:bull_highland -- animania:bull_highland
animania:bull_holstein -- animania:bull_holstein
animania:bull_jersey -- animania:bull_jersey
animania:bull_longhorn -- animania:bull_longhorn
animania:bull_mooshroom -- animania:bull_mooshroom
animania:calf_angus -- animania:calf_angus
animania:calf_friesian -- animania:calf_friesian
animania:calf_hereford -- animania:calf_hereford
animania:calf_highland -- animania:calf_highland
animania:calf_holstein -- animania:calf_holstein
animania:calf_jersey -- animania:calf_jersey
animania:calf_longhorn -- animania:calf_longhorn
animania:calf_mooshroom -- animania:calf_mooshroom
animania:cart -- animania:cart
animania:chick_leghorn -- animania:chick_leghorn
animania:chick_orpington -- animania:chick_orpington
animania:chick_plymouth_rock -- animania:chick_plymouth_rock
animania:chick_rhode_island_red -- animania:chick_rhode_island_red
animania:chick_wyandotte -- animania:chick_wyandotte
animania:cow_angus -- animania:cow_angus
animania:cow_friesian -- animania:cow_friesian
animania:cow_hereford -- animania:cow_hereford
animania:cow_highland -- animania:cow_highland
animania:cow_holstein -- animania:cow_holstein
animania:cow_jersey -- animania:cow_jersey
animania:cow_longhorn -- animania:cow_longhorn
animania:cow_mooshroom -- animania:cow_mooshroom
animania:dartfrog -- animania:dartfrog
animania:doe_alpine -- animania:doe_alpine
animania:doe_angora -- animania:doe_angora
animania:doe_chinchilla -- animania:doe_chinchilla
animania:doe_cottontail -- animania:doe_cottontail
animania:doe_dutch -- animania:doe_dutch
animania:doe_fainting -- animania:doe_fainting
animania:doe_havana -- animania:doe_havana
animania:doe_jack -- animania:doe_jack
animania:doe_kiko -- animania:doe_kiko
animania:doe_kinder -- animania:doe_kinder
animania:doe_lop -- animania:doe_lop
animania:doe_new_zealand -- animania:doe_new_zealand
animania:doe_nigerian_dwarf -- animania:doe_nigerian_dwarf
animania:doe_pygmy -- animania:doe_pygmy
animania:doe_rex -- animania:doe_rex
animania:ewe_dorper -- animania:ewe_dorper
animania:ewe_dorset -- animania:ewe_dorset
animania:ewe_friesian -- animania:ewe_friesian
animania:ewe_jacob -- animania:ewe_jacob
animania:ewe_merino -- animania:ewe_merino
animania:ewe_suffolk -- animania:ewe_suffolk
animania:ferret_grey -- animania:ferret_grey
animania:ferret_white -- animania:ferret_white
animania:foal_draft -- animania:foal_draft
animania:frog -- animania:frog
animania:hamster -- animania:hamster
animania:hedgehog -- animania:hedgehog
animania:hedgehog_albino -- animania:hedgehog_albino
animania:hen_leghorn -- animania:hen_leghorn
animania:hen_orpington -- animania:hen_orpington
animania:hen_plymouth_rock -- animania:hen_plymouth_rock
animania:hen_rhode_island_red -- animania:hen_rhode_island_red
animania:hen_wyandotte -- animania:hen_wyandotte
animania:hog_duroc -- animania:hog_duroc
animania:hog_hampshire -- animania:hog_hampshire
animania:hog_large_black -- animania:hog_large_black
animania:hog_large_white -- animania:hog_large_white
animania:hog_old_spot -- animania:hog_old_spot
animania:hog_yorkshire -- animania:hog_yorkshire
animania:kid_alpine -- animania:kid_alpine
animania:kid_angora -- animania:kid_angora
animania:kid_fainting -- animania:kid_fainting
animania:kid_kiko -- animania:kid_kiko
animania:kid_kinder -- animania:kid_kinder
animania:kid_nigerian_dwarf -- animania:kid_nigerian_dwarf
animania:kid_pygmy -- animania:kid_pygmy
animania:kit_chinchilla -- animania:kit_chinchilla
animania:kit_cottontail -- animania:kit_cottontail
animania:kit_dutch -- animania:kit_dutch
animania:kit_havana -- animania:kit_havana
animania:kit_jack -- animania:kit_jack
animania:kit_lop -- animania:kit_lop
animania:kit_new_zealand -- animania:kit_new_zealand
animania:kit_rex -- animania:kit_rex
animania:lamb_dorper -- animania:lamb_dorper
animania:lamb_dorset -- animania:lamb_dorset
animania:lamb_friesian -- animania:lamb_friesian
animania:lamb_jacob -- animania:lamb_jacob
animania:lamb_merino -- animania:lamb_merino
animania:lamb_suffolk -- animania:lamb_suffolk
animania:mare_draft -- animania:mare_draft
animania:peachick_blue -- animania:peachick_blue
animania:peachick_charcoal -- animania:peachick_charcoal
animania:peachick_opal -- animania:peachick_opal
animania:peachick_peach -- animania:peachick_peach
animania:peachick_purple -- animania:peachick_purple
animania:peachick_taupe -- animania:peachick_taupe
animania:peachick_white -- animania:peachick_white
animania:peacock_blue -- animania:peacock_blue
animania:peacock_charcoal -- animania:peacock_charcoal
animania:peacock_opal -- animania:peacock_opal
animania:peacock_peach -- animania:peacock_peach
animania:peacock_purple -- animania:peacock_purple
animania:peacock_taupe -- animania:peacock_taupe
animania:peacock_white -- animania:peacock_white
animania:peahen_blue -- animania:peahen_blue
animania:peahen_charcoal -- animania:peahen_charcoal
animania:peahen_opal -- animania:peahen_opal
animania:peahen_peach -- animania:peahen_peach
animania:peahen_purple -- animania:peahen_purple
